,name,deeplinks
0,cryptaldash,https://coinmarketcap.com/currencies/cryptaldash
1,bitcoin,https://www.coingecko.com/en/coins/bitcoin
2,zbg-token,https://coinmarketcap.com/currencies/zbg-token
3,ethereum,https://www.coingecko.com/en/coins/ethereum
4,lto-network,https://coinmarketcap.com/currencies/lto-network
5,tether,https://www.coingecko.com/en/coins/tether
6,casinocoin,https://coinmarketcap.com/currencies/casinocoin
7,xrp,https://www.coingecko.com/en/coins/xrp
8,synchrobitcoin,https://coinmarketcap.com/currencies/synchrobitcoin
9,bitcoin-cash,https://www.coingecko.com/en/coins/bitcoin-cash
10,function-x,https://coinmarketcap.com/currencies/function-x
11,chainlink,https://www.coingecko.com/en/coins/chainlink
12,proton,https://coinmarketcap.com/currencies/proton
13,binance-coin,https://www.coingecko.com/en/coins/binance-coin
14,b2bx,https://coinmarketcap.com/currencies/b2bx
15,polkadot,https://www.coingecko.com/en/coins/polkadot
16,medibloc,https://coinmarketcap.com/currencies/medibloc
17,litecoin,https://www.coingecko.com/en/coins/litecoin
18,gas,https://coinmarketcap.com/currencies/gas
19,bitcoin-sv,https://www.coingecko.com/en/coins/bitcoin-sv
20,wixlar,https://coinmarketcap.com/currencies/wixlar
21,cardano,https://www.coingecko.com/en/coins/cardano
22,project-pai,https://coinmarketcap.com/currencies/project-pai
23,usd-coin,https://www.coingecko.com/en/coins/usd-coin
24,pirate-chain,https://coinmarketcap.com/currencies/pirate-chain
25,eos,https://www.coingecko.com/en/coins/eos
26,drep,https://coinmarketcap.com/currencies/drep
27,monero,https://www.coingecko.com/en/coins/monero
28,bitkan,https://coinmarketcap.com/currencies/bitkan
29,crypto-com-coin,https://www.coingecko.com/en/coins/crypto-com-coin
30,bit-z-token,https://coinmarketcap.com/currencies/bit-z-token
31,tron,https://www.coingecko.com/en/coins/tron
32,envion,https://coinmarketcap.com/currencies/envion
33,stellar,https://www.coingecko.com/en/coins/stellar
34,agoras-tokens,https://coinmarketcap.com/currencies/agoras-tokens
35,tezos,https://www.coingecko.com/en/coins/tezos
36,sentivate,https://coinmarketcap.com/currencies/sentivate
37,wrapped-bitcoin,https://www.coingecko.com/en/coins/wrapped-bitcoin
38,seele,https://coinmarketcap.com/currencies/seele
39,compound-dai,https://www.coingecko.com/en/coins/compound-dai
40,ecoreal-estate,https://coinmarketcap.com/currencies/ecoreal-estate
41,okb,https://www.coingecko.com/en/coins/okb
42,aurora,https://coinmarketcap.com/currencies/aurora
43,leo-token,https://www.coingecko.com/en/coins/leo-token
44,yfvalue,https://coinmarketcap.com/currencies/yfvalue
45,cosmos,https://www.coingecko.com/en/coins/cosmos
46,groestlcoin,https://coinmarketcap.com/currencies/groestlcoin
47,neo,https://www.coingecko.com/en/coins/neo
48,metaverse,https://coinmarketcap.com/currencies/metaverse
49,huobi-token,https://www.coingecko.com/en/coins/huobi-token
50,egoras,https://coinmarketcap.com/currencies/egoras
51,dai,https://www.coingecko.com/en/coins/dai
52,arpa-chain,https://coinmarketcap.com/currencies/arpa-chain
53,nem,https://www.coingecko.com/en/coins/nem
54,contentos,https://coinmarketcap.com/currencies/contentos
55,filecoin,https://www.coingecko.com/en/coins/filecoin
56,milk-alliance,https://coinmarketcap.com/currencies/milk-alliance
57,iota,https://www.coingecko.com/en/coins/iota
58,enigma,https://coinmarketcap.com/currencies/enigma
59,vechain,https://www.coingecko.com/en/coins/vechain
60,lambda,https://coinmarketcap.com/currencies/lambda
61,binance-usd,https://www.coingecko.com/en/coins/binance-usd
62,qash,https://coinmarketcap.com/currencies/qash
63,dash,https://www.coingecko.com/en/coins/dash
64,folgory-coin,https://coinmarketcap.com/currencies/folgory-coin
65,theta-network,https://www.coingecko.com/en/coins/theta-network
66,peepcoin,https://coinmarketcap.com/currencies/peepcoin
67,ethereum-classic,https://www.coingecko.com/en/coins/ethereum-classic
68,stakenet,https://coinmarketcap.com/currencies/stakenet
69,zcash,https://www.coingecko.com/en/coins/zcash
70,zenon,https://coinmarketcap.com/currencies/zenon
71,uniswap,https://www.coingecko.com/en/coins/uniswap
72,amo-coin,https://coinmarketcap.com/currencies/amo-coin
73,maker,https://www.coingecko.com/en/coins/maker
74,justliquidity,https://coinmarketcap.com/currencies/justliquidity
75,celsius-network-token,https://www.coingecko.com/en/coins/celsius-network-token
76,fusion,https://coinmarketcap.com/currencies/fusion
77,synthetix-network-token,https://www.coingecko.com/en/coins/synthetix-network-token
78,venus,https://coinmarketcap.com/currencies/venus
79,omg-network,https://www.coingecko.com/en/coins/omg-network
80,constellation,https://coinmarketcap.com/currencies/constellation
81,compound-ether,https://www.coingecko.com/en/coins/compound-ether
82,morpheus-network,https://coinmarketcap.com/currencies/morpheus-network
83,compound,https://www.coingecko.com/en/coins/compound
84,repo,https://coinmarketcap.com/currencies/repo
85,yearn-finance,https://www.coingecko.com/en/coins/yearn-finance
86,platincoin,https://coinmarketcap.com/currencies/platincoin
87,uma,https://www.coingecko.com/en/coins/uma
88,tachyon-protocol,https://coinmarketcap.com/currencies/tachyon-protocol
89,paxos-standard,https://www.coingecko.com/en/coins/paxos-standard
90,moviebloc,https://coinmarketcap.com/currencies/moviebloc
91,aave,https://www.coingecko.com/en/coins/aave
92,king-dag,https://coinmarketcap.com/currencies/king-dag
93,ftx-token,https://www.coingecko.com/en/coins/ftx-token
94,bounce-token,https://coinmarketcap.com/currencies/bounce-token
95,aave-link,https://www.coingecko.com/en/coins/aave-link
96,latoken,https://coinmarketcap.com/currencies/latoken
97,dogecoin,https://www.coingecko.com/en/coins/dogecoin
98,bhp-coin,https://coinmarketcap.com/currencies/bhp-coin
99,ontology,https://www.coingecko.com/en/coins/ontology
100,karatgold-coin,https://coinmarketcap.com/currencies/karatgold-coin
101,waves,https://www.coingecko.com/en/coins/waves
102,chromia,https://coinmarketcap.com/currencies/chromia
103,basic-attention-token,https://www.coingecko.com/en/coins/basic-attention-token
104,bella-protocol,https://coinmarketcap.com/currencies/bella-protocol
105,renbtc,https://www.coingecko.com/en/coins/renbtc
106,rchain,https://coinmarketcap.com/currencies/rchain
107,kusama,https://www.coingecko.com/en/coins/kusama
108,elamachain,https://coinmarketcap.com/currencies/elamachain
109,true-usd,https://www.coingecko.com/en/coins/true-usd
110,mvl,https://coinmarketcap.com/currencies/mvl
111,ren,https://www.coingecko.com/en/coins/ren
112,darwinia-network,https://coinmarketcap.com/currencies/darwinia-network
113,digibyte,https://www.coingecko.com/en/coins/digibyte
114,nexus,https://coinmarketcap.com/currencies/nexus
115,0x,https://www.coingecko.com/en/coins/0x
116,jewel,https://coinmarketcap.com/currencies/jewel
117,husd,https://www.coingecko.com/en/coins/husd
118,leverj,https://coinmarketcap.com/currencies/leverj
119,compound-usd-coin,https://www.coingecko.com/en/coins/compound-usd-coin
120,deviantcoin,https://coinmarketcap.com/currencies/deviantcoin
121,algorand,https://www.coingecko.com/en/coins/algorand
122,parsiq,https://coinmarketcap.com/currencies/parsiq
123,qtum,https://www.coingecko.com/en/coins/qtum
124,dusk-network,https://coinmarketcap.com/currencies/dusk-network
125,aave-eth,https://www.coingecko.com/en/coins/aave-eth
126,level01,https://coinmarketcap.com/currencies/level01
127,zilliqa,https://www.coingecko.com/en/coins/zilliqa
128,levolution,https://coinmarketcap.com/currencies/levolution
129,bittorrent,https://www.coingecko.com/en/coins/bittorrent
130,digixdao,https://coinmarketcap.com/currencies/digixdao
131,icon,https://www.coingecko.com/en/coins/icon
132,aergo,https://coinmarketcap.com/currencies/aergo
133,nexus-mutual,https://www.coingecko.com/en/coins/nexus-mutual
134,zap,https://coinmarketcap.com/currencies/zap
135,energy-web-token,https://www.coingecko.com/en/coins/energy-web-token
136,usdj,https://coinmarketcap.com/currencies/usdj
137,quant,https://www.coingecko.com/en/coins/quant
138,yep-coin,https://coinmarketcap.com/currencies/yep-coin
139,loopring,https://www.coingecko.com/en/coins/loopring
140,onotoken,https://coinmarketcap.com/currencies/onotoken
141,hedera-hashgraph,https://www.coingecko.com/en/coins/hedera-hashgraph
142,firmachain,https://coinmarketcap.com/currencies/firmachain
143,kyber-network,https://www.coingecko.com/en/coins/kyber-network
144,firstblood,https://coinmarketcap.com/currencies/firstblood
145,ocean-protocol,https://www.coingecko.com/en/coins/ocean-protocol
146,vidy,https://coinmarketcap.com/currencies/vidy
147,lisk,https://www.coingecko.com/en/coins/lisk
148,populous,https://coinmarketcap.com/currencies/populous
149,decred,https://www.coingecko.com/en/coins/decred
150,coinmetro-token,https://coinmarketcap.com/currencies/coinmetro-token
151,ampleforth,https://www.coingecko.com/en/coins/ampleforth
152,cocos-bcx,https://coinmarketcap.com/currencies/cocos-bcx
153,terra-luna,https://www.coingecko.com/en/coins/terra-luna
154,dinastycoin,https://coinmarketcap.com/currencies/dinastycoin
155,reserve-rights-token,https://www.coingecko.com/en/coins/reserve-rights-token
156,einsteinium,https://coinmarketcap.com/currencies/einsteinium
157,blockstack,https://www.coingecko.com/en/coins/blockstack
158,nkn,https://coinmarketcap.com/currencies/nkn
159,numeraire,https://www.coingecko.com/en/coins/numeraire
160,trustverse,https://coinmarketcap.com/currencies/trustverse
161,bitcoin-gold,https://www.coingecko.com/en/coins/bitcoin-gold
162,pnetwork,https://coinmarketcap.com/currencies/pnetwork
163,enjin-coin,https://www.coingecko.com/en/coins/enjin-coin
164,injective-protocol,https://coinmarketcap.com/currencies/injective-protocol
165,band-protocol,https://www.coingecko.com/en/coins/band-protocol
166,monolith,https://coinmarketcap.com/currencies/monolith
167,elrond,https://www.coingecko.com/en/coins/elrond
168,alchemy-pay,https://coinmarketcap.com/currencies/alchemy-pay
169,aragon,https://www.coingecko.com/en/coins/aragon
170,anchor,https://coinmarketcap.com/currencies/anchor
171,siacoin,https://www.coingecko.com/en/coins/siacoin
172,library-credit,https://coinmarketcap.com/currencies/library-credit
173,arweave,https://www.coingecko.com/en/coins/arweave
174,aidos-kuneen,https://coinmarketcap.com/currencies/aidos-kuneen
175,nano,https://www.coingecko.com/en/coins/nano
176,quantum-resistant-ledger,https://coinmarketcap.com/currencies/quantum-resistant-ledger
177,avalanche,https://www.coingecko.com/en/coins/avalanche
178,iqeon,https://coinmarketcap.com/currencies/iqeon
179,bytom,https://www.coingecko.com/en/coins/bytom
180,biki,https://coinmarketcap.com/currencies/biki
181,balancer,https://www.coingecko.com/en/coins/balancer
182,rakon,https://coinmarketcap.com/currencies/rakon
183,empty-set-dollar,https://www.coingecko.com/en/coins/empty-set-dollar
184,yfdai-finance,https://coinmarketcap.com/currencies/yfdai-finance
185,monacoin,https://www.coingecko.com/en/coins/monacoin
186,metadium,https://coinmarketcap.com/currencies/metadium
187,aave-usdc,https://www.coingecko.com/en/coins/aave-usdc
188,nexxo,https://coinmarketcap.com/currencies/nexxo
189,decentraland,https://www.coingecko.com/en/coins/decentraland
190,nuco-cloud,https://coinmarketcap.com/currencies/nuco-cloud
191,bitcoin-diamond,https://www.coingecko.com/en/coins/bitcoin-diamond
192,carry,https://coinmarketcap.com/currencies/carry
193,thorchain,https://www.coingecko.com/en/coins/thorchain
194,liquid-apps,https://coinmarketcap.com/currencies/liquid-apps
195,status,https://www.coingecko.com/en/coins/status
196,nxt,https://coinmarketcap.com/currencies/nxt
197,tether-gold,https://www.coingecko.com/en/coins/tether-gold
198,quark,https://coinmarketcap.com/currencies/quark
199,gatetoken,https://www.coingecko.com/en/coins/gatetoken
200,ravencoin,https://coinmarketcap.com/currencies/ravencoin
201,keep-network,https://www.coingecko.com/en/coins/keep-network
202,arweave,https://coinmarketcap.com/currencies/arweave
203,aion,https://www.coingecko.com/en/coins/aion
204,nexo,https://coinmarketcap.com/currencies/nexo
205,idex,https://www.coingecko.com/en/coins/idex
206,nervos-network,https://coinmarketcap.com/currencies/nervos-network
207,harmony,https://www.coingecko.com/en/coins/harmony
208,bytom,https://coinmarketcap.com/currencies/bytom
209,thundercore,https://www.coingecko.com/en/coins/thundercore
210,holo,https://coinmarketcap.com/currencies/holo
211,hyperion,https://www.coingecko.com/en/coins/hyperion
212,status,https://coinmarketcap.com/currencies/status
213,sero,https://www.coingecko.com/en/coins/sero
214,balancer,https://coinmarketcap.com/currencies/balancer
215,elastos,https://www.coingecko.com/en/coins/elastos
216,iostoken,https://coinmarketcap.com/currencies/iostoken
217,lambda,https://www.coingecko.com/en/coins/lambda
218,solana,https://coinmarketcap.com/currencies/solana
219,certik,https://www.coingecko.com/en/coins/certik
220,swipe,https://coinmarketcap.com/currencies/swipe
221,aave-dai,https://www.coingecko.com/en/coins/aave-dai
222,storj,https://coinmarketcap.com/currencies/storj
223,origintrail,https://www.coingecko.com/en/coins/origintrail
224,verge,https://coinmarketcap.com/currencies/verge
225,sbtc,https://www.coingecko.com/en/coins/sbtc
226,thorchain,https://coinmarketcap.com/currencies/thorchain
227,btu-protocol,https://www.coingecko.com/en/coins/btu-protocol
228,rlc,https://coinmarketcap.com/currencies/rlc
229,handshake,https://www.coingecko.com/en/coins/handshake
230,kucoin-shares,https://coinmarketcap.com/currencies/kucoin-shares
231,reddcoin,https://www.coingecko.com/en/coins/reddcoin
232,bitcoin-bep2,https://coinmarketcap.com/currencies/bitcoin-bep2
233,hashgard,https://www.coingecko.com/en/coins/hashgard
234,divi,https://coinmarketcap.com/currencies/divi
235,zbg_token,https://www.coingecko.com/en/coins/zbg_token
236,pax-gold,https://coinmarketcap.com/currencies/pax-gold
237,gxchain,https://www.coingecko.com/en/coins/gxchain
238,swissborg,https://coinmarketcap.com/currencies/swissborg
239,quarkchain,https://www.coingecko.com/en/coins/quarkchain
240,rsk-infrastructure-framework,https://coinmarketcap.com/currencies/rsk-infrastructure-framework
241,crdt,https://www.coingecko.com/en/coins/crdt
242,iotex,https://coinmarketcap.com/currencies/iotex
243,streamr-datacoin,https://www.coingecko.com/en/coins/streamr-datacoin
244,yearn-finance-ii,https://coinmarketcap.com/currencies/yearn-finance-ii
245,kardiachain,https://www.coingecko.com/en/coins/kardiachain
246,matic-network,https://coinmarketcap.com/currencies/matic-network
247,whale,https://www.coingecko.com/en/coins/whale
248,steem,https://coinmarketcap.com/currencies/steem
249,iocoin,https://www.coingecko.com/en/coins/iocoin
250,komodo,https://coinmarketcap.com/currencies/komodo
251,bytecoin,https://www.coingecko.com/en/coins/bytecoin
252,just,https://coinmarketcap.com/currencies/just
253,melon,https://www.coingecko.com/en/coins/melon
254,bancor,https://coinmarketcap.com/currencies/bancor
255,syscoin,https://www.coingecko.com/en/coins/syscoin
256,kava,https://coinmarketcap.com/currencies/kava
257,ultiledger,https://www.coingecko.com/en/coins/ultiledger
258,energi,https://coinmarketcap.com/currencies/energi
259,force-protocol,https://www.coingecko.com/en/coins/force-protocol
260,unibright,https://coinmarketcap.com/currencies/unibright
261,mx-token,https://www.coingecko.com/en/coins/mx-token
262,horizen,https://coinmarketcap.com/currencies/horizen
263,wink,https://www.coingecko.com/en/coins/wink
264,helium,https://coinmarketcap.com/currencies/helium
265,nectar-token,https://www.coingecko.com/en/coins/nectar-token
266,apm-coin,https://coinmarketcap.com/currencies/apm-coin
267,wom-protocol,https://www.coingecko.com/en/coins/wom-protocol
268,serum,https://coinmarketcap.com/currencies/serum
269,harvest-finance,https://www.coingecko.com/en/coins/harvest-finance
270,bitshares,https://coinmarketcap.com/currencies/bitshares
271,bosagora,https://www.coingecko.com/en/coins/bosagora
272,curve-dao-token,https://coinmarketcap.com/currencies/curve-dao-token
273,eterbase,https://www.coingecko.com/en/coins/eterbase
274,hive-blockchain,https://coinmarketcap.com/currencies/hive-blockchain
275,haven,https://www.coingecko.com/en/coins/haven
276,ankr,https://coinmarketcap.com/currencies/ankr
277,noia-network,https://www.coingecko.com/en/coins/noia-network
278,ardor,https://coinmarketcap.com/currencies/ardor
279,yuan-chain-coin,https://www.coingecko.com/en/coins/yuan-chain-coin
280,wax,https://coinmarketcap.com/currencies/wax
281,redfox-labs,https://www.coingecko.com/en/coins/redfox-labs
282,uquid-coin,https://coinmarketcap.com/currencies/uquid-coin
283,hegic,https://www.coingecko.com/en/coins/hegic
284,aelf,https://coinmarketcap.com/currencies/aelf
285,loki-network,https://www.coingecko.com/en/coins/loki-network
286,chiliz,https://coinmarketcap.com/currencies/chiliz
287,sand,https://www.coingecko.com/en/coins/sand
288,maidsafecoin,https://coinmarketcap.com/currencies/maidsafecoin
289,adex,https://www.coingecko.com/en/coins/adex
290,gnosis-gno,https://coinmarketcap.com/currencies/gnosis-gno
291,nuls,https://www.coingecko.com/en/coins/nuls
292,theta-fuel,https://coinmarketcap.com/currencies/theta-fuel
293,crypto20,https://www.coingecko.com/en/coins/crypto20
294,irisnet,https://coinmarketcap.com/currencies/irisnet
295,akropolis,https://www.coingecko.com/en/coins/akropolis
296,hypercash,https://coinmarketcap.com/currencies/hypercash
297,pivx,https://www.coingecko.com/en/coins/pivx
298,tomochain,https://coinmarketcap.com/currencies/tomochain
299,digitex-futures-exchange,https://www.coingecko.com/en/coins/digitex-futures-exchange
300,electroneum,https://coinmarketcap.com/currencies/electroneum
301,ripio-credit-network,https://www.coingecko.com/en/coins/ripio-credit-network
302,fantom,https://coinmarketcap.com/currencies/fantom
303,secret,https://www.coingecko.com/en/coins/secret
304,stratis,https://coinmarketcap.com/currencies/stratis
305,funfair,https://www.coingecko.com/en/coins/funfair
306,hyperion,https://coinmarketcap.com/currencies/hyperion
307,verus-coin,https://www.coingecko.com/en/coins/verus-coin
308,quarkchain,https://coinmarketcap.com/currencies/quarkchain
309,wazirx,https://www.coingecko.com/en/coins/wazirx
310,utrust,https://coinmarketcap.com/currencies/utrust
311,obyte,https://www.coingecko.com/en/coins/obyte
312,wanchain,https://coinmarketcap.com/currencies/wanchain
313,chainx,https://www.coingecko.com/en/coins/chainx
314,zcoin,https://coinmarketcap.com/currencies/zcoin
315,orion-protocol,https://www.coingecko.com/en/coins/orion-protocol
316,crypto-com,https://coinmarketcap.com/currencies/crypto-com
317,wirex,https://www.coingecko.com/en/coins/wirex
318,tellor,https://coinmarketcap.com/currencies/tellor
319,origin-protocol,https://www.coingecko.com/en/coins/origin-protocol
320,mxc,https://coinmarketcap.com/currencies/mxc
321,gas,https://www.coingecko.com/en/coins/gas
322,hxro,https://coinmarketcap.com/currencies/hxro
323,airswap,https://www.coingecko.com/en/coins/airswap
324,kin,https://coinmarketcap.com/currencies/kin
325,metal,https://www.coingecko.com/en/coins/metal
326,gatetoken,https://coinmarketcap.com/currencies/gatetoken
327,nimiq,https://www.coingecko.com/en/coins/nimiq
328,ark,https://coinmarketcap.com/currencies/ark
329,phala-network,https://www.coingecko.com/en/coins/phala-network
330,pundi-x,https://coinmarketcap.com/currencies/pundi-x
331,mainframe,https://www.coingecko.com/en/coins/mainframe
332,stasis-euro,https://coinmarketcap.com/currencies/stasis-euro
333,darico-ecosystem-coin,https://www.coingecko.com/en/coins/darico-ecosystem-coin
334,kleros,https://coinmarketcap.com/currencies/kleros
335,civic,https://www.coingecko.com/en/coins/civic
336,sharetoken,https://coinmarketcap.com/currencies/sharetoken
